GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lms,com.hcl.lms,LmsApplication,5,3,0,0,2,1,1,1,1,1
lms,com.hcl.lms.controller,BookController,5,116,1,1,1,28,1,6,0,6
lms,com.hcl.lms.controller,UserBookSummaryController,0,63,0,0,0,16,0,4,0,4
lms,com.hcl.lms.controller,LoginController,0,21,0,0,0,5,0,3,0,3
lms,com.hcl.lms.controller,RegistrationController,0,32,0,0,0,8,0,3,0,3
lms,com.hcl.lms.service,BookServiceImpl,0,128,0,0,0,33,0,6,0,6
lms,com.hcl.lms.service,LoginServiceImpl,0,50,0,2,0,14,0,4,0,3
lms,com.hcl.lms.service,RegistrationServiceImpl,0,57,0,4,0,15,0,5,0,3
lms,com.hcl.lms.service,UserBookSummaryImpl,75,49,5,1,20,14,6,4,3,4
lms,com.hcl.lms.util,Scheduler,20,3,0,0,6,1,2,1,2,1
lms,com.hcl.lms.util,ExceptionConstants,7,0,0,0,2,0,1,0,1,0
lms,com.hcl.lms.exception,GlobalExceptionHandler,14,3,0,0,2,1,1,1,1,1
lms,com.hcl.lms.exception,Response,26,0,0,0,12,0,6,0,6,0
lms,com.hcl.lms.exception,CommonException,0,4,0,0,0,2,0,1,0,1
lms,com.hcl.lms.dto,LoginResponseDto,6,18,0,0,2,3,2,5,2,5
lms,com.hcl.lms.dto,RegistrationRequestDto,0,31,0,0,0,6,0,9,0,9
lms,com.hcl.lms.dto,AddSummaryResponse,9,15,0,0,3,2,3,4,3,4
lms,com.hcl.lms.dto,BookBorrowResponseDto,12,19,0,0,4,2,4,5,4,5
lms,com.hcl.lms.dto,ResponseDto,3,14,0,0,1,3,1,4,1,4
lms,com.hcl.lms.dto,BookDto,0,24,0,0,0,5,0,7,0,7
lms,com.hcl.lms.dto,BorrowSummaryResponseDto,9,15,0,0,3,2,3,4,3,4
lms,com.hcl.lms.dto,BookListResponseDto,9,15,0,0,3,2,3,4,3,4
lms,com.hcl.lms.dto,AddSummaryInfo,6,18,0,0,2,3,2,5,2,5
lms,com.hcl.lms.dto,BorrowSummaryInfo,20,11,0,0,4,2,6,3,6,3
lms,com.hcl.lms.dto,LoginRequestDto,0,17,0,0,0,4,0,5,0,5
lms,com.hcl.lms.dto,BookResponseDto,12,19,0,0,4,2,4,5,4,5
lms,com.hcl.lms.dto,BookRequestDto,0,17,0,0,0,4,0,5,0,5
lms,com.hcl.lms.entity,User,18,34,0,0,6,3,6,9,6,9
lms,com.hcl.lms.entity,Book,9,36,0,0,3,5,3,10,3,10
lms,com.hcl.lms.entity,BorrowDetail,18,27,0,0,6,2,6,7,6,7
lms,com.hcl.lms.entity,BookRequestDetail,13,11,0,0,3,2,4,3,4,3
lms,com.hcl.lms.config,SwaggerConfig,0,14,0,0,0,3,0,2,0,2
